Hour;kWh
00.00.00;0,160
01.00.00;0,150
02.00.00;0,140
03.00.00;0,170
04.00.00;0,120
05.00.00;0,030
06.00.00;0,030
07.00.00;0,040
08.00.00;0,050
09.00.00;0,030
10.00.00;0,040
11.00.00;0,050
12.00.00;1,450
13.00.00;0,390
14.00.00;0,140
15.00.00;0,160
16.00.00;0,180
17.00.00;0,110
18.00.00;0,170
19.00.00;0,200
20.00.00;0,180
21.00.00;0,160
22.00.00;0,070
23.00.00;0,080
00.00.00;0,070
01.00.00;0,070
02.00.00;0,060
03.00.00;0,090
04.00.00;0,070
05.00.00;0,060
06.00.00;0,080
07.00.00;0,070
08.00.00;0,060
09.00.00;0,080
10.00.00;0,070
11.00.00;0,050
12.00.00;0,080
13.00.00;0,070
14.00.00;0,060
15.00.00;0,080
16.00.00;0,070
17.00.00;0,060
18.00.00;0,070
19.00.00;0,080
20.00.00;0,110
21.00.00;0,270
22.00.00;0,220
23.00.00;0,120
00.00.00;0,070
01.00.00;0,040
02.00.00;0,060
03.00.00;0,060
04.00.00;0,040
05.00.00;0,070
06.00.00;0,030
07.00.00;0,070
08.00.00;0,080
09.00.00;0,200
10.00.00;0,190
11.00.00;0,150
12.00.00;0,220
13.00.00;0,200
14.00.00;0,220
15.00.00;0,340
16.00.00;0,160
17.00.00;0,140
18.00.00;0,170
19.00.00;1,110
20.00.00;0,460
21.00.00;0,180
22.00.00;0,060
23.00.00;0,050
00.00.00;0,060
01.00.00;0,040
02.00.00;0,040
03.00.00;0,050
04.00.00;0,020
05.00.00;0,080
06.00.00;0,140
07.00.00;0,060
08.00.00;0,210
09.00.00;0,090
10.00.00;0,070
11.00.00;0,070
12.00.00;0,070
13.00.00;0,060
14.00.00;0,090
15.00.00;0,050
16.00.00;0,030
17.00.00;0,040
18.00.00;0,040
19.00.00;0,030
20.00.00;0,040
21.00.00;0,050
22.00.00;0,020
23.00.00;0,040
00.00.00;0,050
01.00.00;0,030
02.00.00;0,040
03.00.00;0,040
04.00.00;0,020
05.00.00;0,050
06.00.00;0,040
07.00.00;0,020
08.00.00;0,050
09.00.00;0,040
10.00.00;0,020
11.00.00;0,050
12.00.00;0,040
13.00.00;0,030
14.00.00;0,050
15.00.00;0,030
16.00.00;0,040
17.00.00;0,040
18.00.00;0,020
19.00.00;0,050
20.00.00;0,040
21.00.00;0,030
22.00.00;0,050
23.00.00;0,030
00.00.00;0,040
01.00.00;0,040
02.00.00;0,030
03.00.00;0,050
04.00.00;0,020
05.00.00;0,060
06.00.00;0,020
07.00.00;0,050
08.00.00;0,030
09.00.00;0,040
10.00.00;0,030
11.00.00;0,040
12.00.00;0,040
13.00.00;0,040
14.00.00;0,030
15.00.00;0,030
16.00.00;0,050
17.00.00;0,020
18.00.00;0,060
19.00.00;0,020
20.00.00;0,050
21.00.00;0,030
22.00.00;0,040
23.00.00;0,030
00.00.00;0,040
01.00.00;0,040
02.00.00;0,030
03.00.00;0,050
04.00.00;0,030
05.00.00;0,040
06.00.00;0,030
07.00.00;0,040
08.00.00;0,030
09.00.00;0,050
10.00.00;0,030
11.00.00;0,040
12.00.00;0,030
13.00.00;0,040
14.00.00;0,030
15.00.00;0,040
16.00.00;0,030
17.00.00;0,050
18.00.00;0,020
19.00.00;0,050
20.00.00;0,020
21.00.00;0,060
22.00.00;0,010
23.00.00;0,060
00.00.00;0,020
01.00.00;0,050
02.00.00;0,020
03.00.00;0,050
04.00.00;0,030
05.00.00;0,040
06.00.00;0,030
07.00.00;0,040
08.00.00;0,040
09.00.00;0,040
10.00.00;0,040
11.00.00;0,020
12.00.00;0,060
13.00.00;0,010
14.00.00;0,060
15.00.00;0,020
16.00.00;0,040
17.00.00;0,040
18.00.00;0,030
19.00.00;0,050
20.00.00;0,020
21.00.00;0,050
22.00.00;0,030
23.00.00;0,050
00.00.00;0,030
01.00.00;0,040
02.00.00;0,040
03.00.00;0,030
04.00.00;0,050
05.00.00;0,020
06.00.00;0,060
07.00.00;0,010
08.00.00;0,060
09.00.00;0,020
10.00.00;0,050
11.00.00;0,020
12.00.00;0,050
13.00.00;0,030
14.00.00;0,040
15.00.00;0,040
16.00.00;0,020
17.00.00;0,050
18.00.00;0,030
19.00.00;0,040
20.00.00;0,050
21.00.00;0,020
22.00.00;0,050
23.00.00;0,030
00.00.00;0,040
01.00.00;0,040
02.00.00;0,020
03.00.00;0,060
04.00.00;0,020
05.00.00;0,040
06.00.00;0,050
07.00.00;0,020
08.00.00;0,060
09.00.00;0,020
10.00.00;0,040
11.00.00;0,040
12.00.00;0,030
13.00.00;0,050
14.00.00;0,020
15.00.00;0,050
16.00.00;0,040
17.00.00;0,030
18.00.00;0,050
19.00.00;0,020
20.00.00;0,050
21.00.00;0,040
22.00.00;0,020
23.00.00;0,050
00.00.00;0,030
01.00.00;0,040
02.00.00;0,050
03.00.00;0,020
04.00.00;0,050
05.00.00;0,030
06.00.00;0,040
07.00.00;0,050
08.00.00;0,010
09.00.00;0,060
10.00.00;0,030
11.00.00;0,030
12.00.00;0,060
13.00.00;0,020
14.00.00;0,040
15.00.00;0,050
16.00.00;0,020
17.00.00;0,050
18.00.00;0,040
19.00.00;0,020
20.00.00;0,050
21.00.00;0,040
22.00.00;0,030
23.00.00;0,100
00.00.00;0,100
01.00.00;0,060
02.00.00;0,040
03.00.00;0,060
04.00.00;0,030
05.00.00;0,050
06.00.00;0,090
07.00.00;0,030
08.00.00;0,060
09.00.00;0,210
10.00.00;0,070
11.00.00;0,060
12.00.00;0,040
13.00.00;0,050
14.00.00;0,050
15.00.00;0,030
16.00.00;0,050
17.00.00;1,130
18.00.00;0,610
19.00.00;0,160
20.00.00;0,140
21.00.00;0,200
22.00.00;0,210
23.00.00;0,050
00.00.00;0,030
01.00.00;0,060
02.00.00;0,030
03.00.00;0,050
04.00.00;0,040
05.00.00;0,040
06.00.00;0,050
07.00.00;0,300
08.00.00;0,260
09.00.00;0,130
10.00.00;0,040
11.00.00;0,040
12.00.00;0,050
13.00.00;0,040
14.00.00;0,020
15.00.00;0,050
16.00.00;0,050
17.00.00;0,030
18.00.00;0,030
19.00.00;0,050
20.00.00;0,050
21.00.00;0,030
22.00.00;0,030
23.00.00;0,050
00.00.00;0,040
01.00.00;0,040
02.00.00;0,030
03.00.00;0,060
04.00.00;0,030
05.00.00;0,040
06.00.00;0,050
07.00.00;0,020
08.00.00;0,060
09.00.00;0,030
10.00.00;0,040
11.00.00;0,050
12.00.00;0,020
13.00.00;0,050
14.00.00;0,040
15.00.00;0,030
16.00.00;0,060
17.00.00;0,020
18.00.00;0,040
19.00.00;0,050
20.00.00;0,040
21.00.00;0,080
22.00.00;0,040
23.00.00;0,080
00.00.00;0,050
01.00.00;0,060
02.00.00;0,060
03.00.00;0,060
04.00.00;0,060
05.00.00;0,050
06.00.00;0,070
07.00.00;0,050
08.00.00;0,070
09.00.00;0,040
10.00.00;0,080
11.00.00;0,040
12.00.00;0,080
13.00.00;0,040
14.00.00;0,070
15.00.00;0,050
16.00.00;0,070
17.00.00;0,040
18.00.00;0,060
19.00.00;0,020
20.00.00;0,050
21.00.00;0,020
22.00.00;0,060
23.00.00;0,020
00.00.00;0,050
01.00.00;0,020
02.00.00;0,060
03.00.00;0,010
04.00.00;0,060
05.00.00;0,020
06.00.00;0,060
07.00.00;0,020
08.00.00;0,060
09.00.00;0,020
10.00.00;0,050
11.00.00;0,020
12.00.00;0,060
13.00.00;0,010
14.00.00;0,060
15.00.00;0,020
16.00.00;0,050
17.00.00;0,030
18.00.00;0,040
19.00.00;0,040
20.00.00;0,030
21.00.00;0,050
22.00.00;0,020
23.00.00;0,060
00.00.00;0,030
01.00.00;0,040
02.00.00;0,040
03.00.00;0,030
04.00.00;0,050
05.00.00;0,020
06.00.00;0,060
07.00.00;0,020
08.00.00;0,050
09.00.00;0,040
10.00.00;0,030
11.00.00;0,050
12.00.00;0,030
13.00.00;0,050
14.00.00;0,020
15.00.00;0,050
16.00.00;0,030
17.00.00;0,040
18.00.00;0,040
19.00.00;0,030
20.00.00;0,050
21.00.00;0,020
22.00.00;0,060
23.00.00;0,030
00.00.00;0,040
01.00.00;0,040
02.00.00;0,030
03.00.00;0,050
04.00.00;0,030
05.00.00;0,050
06.00.00;0,020
07.00.00;0,050
08.00.00;0,030
09.00.00;0,050
10.00.00;0,030
11.00.00;0,040
12.00.00;0,040
13.00.00;0,030
14.00.00;0,050
15.00.00;0,020
16.00.00;0,060
17.00.00;0,020
18.00.00;0,040
19.00.00;0,040
20.00.00;0,030
21.00.00;0,050
22.00.00;0,030
23.00.00;0,050
00.00.00;0,040
01.00.00;0,030
02.00.00;0,050
03.00.00;0,030
04.00.00;0,040
05.00.00;0,040
06.00.00;0,030
07.00.00;0,060
08.00.00;0,020
09.00.00;0,050
10.00.00;0,040
11.00.00;0,020
12.00.00;0,050
13.00.00;0,040
14.00.00;0,030
15.00.00;0,040
16.00.00;0,050
17.00.00;0,030
18.00.00;0,030
19.00.00;0,040
20.00.00;0,050
21.00.00;0,040
22.00.00;0,040
23.00.00;0,030
00.00.00;0,040
01.00.00;0,040
02.00.00;0,040
03.00.00;0,050
04.00.00;0,040
05.00.00;0,030
06.00.00;0,030
07.00.00;0,050
08.00.00;0,040
09.00.00;0,050
10.00.00;0,030
11.00.00;0,040
12.00.00;0,040
13.00.00;0,040
14.00.00;0,030
15.00.00;0,040
16.00.00;0,050
17.00.00;0,040
18.00.00;0,040
19.00.00;0,040
20.00.00;0,040
21.00.00;0,030
22.00.00;0,040
23.00.00;0,040
00.00.00;0,040
01.00.00;0,050
02.00.00;0,040
03.00.00;0,040
04.00.00;0,050
05.00.00;0,040
06.00.00;0,040
07.00.00;0,040
08.00.00;0,050
09.00.00;0,040
10.00.00;0,040
11.00.00;0,030
12.00.00;0,040
13.00.00;0,040
14.00.00;0,040
15.00.00;0,050
16.00.00;0,040
17.00.00;0,040
18.00.00;0,040
19.00.00;0,040
20.00.00;0,050
21.00.00;0,040
22.00.00;0,030
23.00.00;0,050
00.00.00;0,050
01.00.00;0,040
02.00.00;0,040
03.00.00;0,040
04.00.00;0,050
05.00.00;0,040
06.00.00;0,040
07.00.00;0,040
08.00.00;0,050
09.00.00;0,040
10.00.00;0,040
11.00.00;0,040
12.00.00;0,040
13.00.00;0,050
14.00.00;0,040
15.00.00;0,040
16.00.00;0,040
17.00.00;0,050
18.00.00;0,040
19.00.00;0,040
20.00.00;0,050
21.00.00;0,040
22.00.00;0,040
23.00.00;0,050
00.00.00;0,040
01.00.00;0,040
02.00.00;0,040
03.00.00;0,050
04.00.00;0,040
05.00.00;0,040
06.00.00;0,050
07.00.00;0,040
08.00.00;0,040
09.00.00;0,040
10.00.00;0,050
11.00.00;0,040
12.00.00;0,040
13.00.00;0,040
14.00.00;0,050
15.00.00;0,030
16.00.00;0,050
17.00.00;0,040
18.00.00;0,050
19.00.00;0,040
20.00.00;0,040
21.00.00;0,050
22.00.00;0,040
23.00.00;0,050
00.00.00;0,040
01.00.00;0,040
02.00.00;0,050
03.00.00;0,040
04.00.00;0,050
05.00.00;0,040
06.00.00;0,040
07.00.00;0,050
08.00.00;0,030
09.00.00;0,050
10.00.00;0,050
11.00.00;0,040
12.00.00;0,050
13.00.00;0,040
14.00.00;0,040
15.00.00;0,040
16.00.00;0,050
17.00.00;0,040
18.00.00;0,050
19.00.00;0,040
20.00.00;0,050
21.00.00;0,040
22.00.00;0,050
23.00.00;0,040
00.00.00;0,050
01.00.00;0,040
02.00.00;0,050
03.00.00;0,040
04.00.00;0,040
05.00.00;0,050
06.00.00;0,040
07.00.00;0,050
08.00.00;0,040
09.00.00;0,050
10.00.00;0,040
11.00.00;0,040
12.00.00;0,050
13.00.00;0,040
14.00.00;0,050
15.00.00;0,040
16.00.00;0,050
17.00.00;0,040
18.00.00;0,040
19.00.00;0,050
20.00.00;0,050
21.00.00;0,030
22.00.00;0,050
23.00.00;0,050
00.00.00;0,040
01.00.00;0,040
02.00.00;0,050
03.00.00;0,050
04.00.00;0,040
05.00.00;0,040
06.00.00;0,040
07.00.00;0,050
08.00.00;0,040
09.00.00;0,050
10.00.00;0,040
11.00.00;0,050
12.00.00;0,040
13.00.00;0,040
14.00.00;0,040
15.00.00;0,040
16.00.00;0,040
17.00.00;0,050
18.00.00;0,040
19.00.00;0,040
20.00.00;0,040
21.00.00;0,040
22.00.00;0,040
23.00.00;0,050
00.00.00;0,040
01.00.00;0,050
02.00.00;0,030
03.00.00;0,040
04.00.00;0,040
05.00.00;0,040
06.00.00;0,040
07.00.00;0,050
08.00.00;0,040
09.00.00;0,040
10.00.00;0,050
11.00.00;0,040
12.00.00;0,040
13.00.00;0,040
14.00.00;0,050
15.00.00;0,040
16.00.00;0,040
17.00.00;0,040
18.00.00;0,040
19.00.00;0,040
20.00.00;0,040
21.00.00;0,050
22.00.00;0,040
23.00.00;0,040
00.00.00;0,040
01.00.00;0,050
02.00.00;0,030
03.00.00;0,040
04.00.00;0,040
05.00.00;0,040
06.00.00;0,040
07.00.00;0,040
08.00.00;0,040
09.00.00;0,040
10.00.00;0,050
11.00.00;0,040
12.00.00;0,040
13.00.00;0,040
14.00.00;0,040
15.00.00;0,040
16.00.00;0,040
17.00.00;0,040
18.00.00;0,040
19.00.00;0,040
20.00.00;0,040
21.00.00;0,040
22.00.00;0,040
23.00.00;0,040
00.00.00;0,040
01.00.00;0,040
02.00.00;0,040
03.00.00;0,040
04.00.00;0,040
05.00.00;0,050
06.00.00;0,040
07.00.00;0,040
08.00.00;0,040
09.00.00;0,040
10.00.00;0,040
11.00.00;0,040
12.00.00;0,040
13.00.00;0,040
14.00.00;0,040
15.00.00;0,040
16.00.00;0,040
17.00.00;0,040
18.00.00;0,040
19.00.00;0,040
20.00.00;0,040
21.00.00;0,040
22.00.00;0,050
23.00.00;0,040
00.00.00;0,040
01.00.00;0,040
02.00.00;0,040
03.00.00;0,040
04.00.00;0,040
05.00.00;0,050
06.00.00;0,040
07.00.00;0,040
08.00.00;0,040
09.00.00;0,040
10.00.00;0,040
11.00.00;0,040
12.00.00;0,040
13.00.00;0,040
14.00.00;0,040
15.00.00;0,040
16.00.00;0,050
17.00.00;0,040
18.00.00;0,040
19.00.00;0,040
20.00.00;0,040
21.00.00;0,040
22.00.00;0,050
23.00.00;0,040
00.00.00;0,040
01.00.00;0,040
02.00.00;0,050
03.00.00;0,040
04.00.00;0,040
05.00.00;0,040
06.00.00;0,040
07.00.00;0,040
08.00.00;0,030
09.00.00;0,040
10.00.00;0,050
11.00.00;0,040
12.00.00;0,050
13.00.00;0,040
14.00.00;0,040
15.00.00;0,030
16.00.00;0,040
17.00.00;0,040
18.00.00;0,040
19.00.00;0,040
20.00.00;0,040
21.00.00;0,040
22.00.00;0,040
23.00.00;0,040
00.00.00;0,040
01.00.00;0,040
02.00.00;0,050
03.00.00;0,050
04.00.00;0,040
05.00.00;0,030
06.00.00;0,040
07.00.00;0,040
08.00.00;0,050
09.00.00;0,040
10.00.00;0,040
11.00.00;0,030
12.00.00;0,040
13.00.00;0,050
14.00.00;0,040
15.00.00;0,040
16.00.00;0,560
17.00.00;1,110
18.00.00;0,230
19.00.00;0,150
20.00.00;0,070
21.00.00;0,030
22.00.00;0,060
23.00.00;0,060
00.00.00;0,040
01.00.00;0,040
02.00.00;0,040
03.00.00;0,030
04.00.00;0,040
05.00.00;0,050
06.00.00;0,150
07.00.00;0,140
08.00.00;0,150
09.00.00;0,080
10.00.00;0,040
11.00.00;0,040
12.00.00;0,040
13.00.00;0,030
14.00.00;0,040
15.00.00;0,190
16.00.00;0,150
17.00.00;0,240
18.00.00;0,340
19.00.00;0,160
20.00.00;0,080
21.00.00;0,080
22.00.00;0,140
23.00.00;0,040
00.00.00;0,040
01.00.00;0,040
02.00.00;0,040
03.00.00;0,040
04.00.00;0,070
05.00.00;0,990
06.00.00;0,840
07.00.00;0,080
08.00.00;0,620
09.00.00;1,100
10.00.00;0,310
11.00.00;0,070
12.00.00;0,380
13.00.00;0,150
14.00.00;0,080
15.00.00;0,050
16.00.00;0,040
17.00.00;0,030
18.00.00;0,040
19.00.00;0,040
20.00.00;0,040
21.00.00;0,040
22.00.00;0,050
23.00.00;0,040
00.00.00;0,040
01.00.00;0,040
02.00.00;0,030
03.00.00;0,050
04.00.00;0,040
05.00.00;0,050
06.00.00;0,030
07.00.00;0,040
08.00.00;0,040
09.00.00;0,040
10.00.00;0,050
11.00.00;0,040
12.00.00;0,030
13.00.00;0,040
14.00.00;0,050
15.00.00;0,060
16.00.00;0,050
17.00.00;0,060
18.00.00;0,050
19.00.00;0,060
20.00.00;0,050
21.00.00;0,050
22.00.00;0,050
23.00.00;0,040
00.00.00;0,060
01.00.00;0,060
02.00.00;0,060
03.00.00;0,050
04.00.00;0,050
05.00.00;0,040
06.00.00;0,060
07.00.00;0,060
08.00.00;0,050
09.00.00;0,050
10.00.00;0,040
11.00.00;0,060
12.00.00;0,060
13.00.00;0,050
14.00.00;0,050
15.00.00;0,050
16.00.00;0,050
17.00.00;0,050
18.00.00;0,060
19.00.00;0,050
20.00.00;0,060
21.00.00;0,040
22.00.00;0,050
23.00.00;0,050
00.00.00;0,060
01.00.00;0,060
02.00.00;0,050
03.00.00;0,050
04.00.00;0,040
05.00.00;0,060
06.00.00;0,060
07.00.00;0,050
08.00.00;0,040
09.00.00;0,070
10.00.00;0,050
11.00.00;0,040
12.00.00;0,050
13.00.00;0,060
14.00.00;0,060
15.00.00;0,040
16.00.00;0,040
17.00.00;0,060
18.00.00;0,060
19.00.00;0,050
20.00.00;0,040
21.00.00;0,050
22.00.00;0,070
23.00.00;0,050
00.00.00;0,040
01.00.00;0,060
02.00.00;0,060
03.00.00;0,040
04.00.00;0,050
05.00.00;0,070
06.00.00;0,030
07.00.00;0,060
08.00.00;0,060
09.00.00;0,040
10.00.00;0,050
11.00.00;0,060
12.00.00;0,040
13.00.00;0,060
14.00.00;0,060
15.00.00;0,030
16.00.00;0,060
17.00.00;0,060
18.00.00;1,420
19.00.00;0,530
20.00.00;0,180
21.00.00;0,180
22.00.00;0,070
23.00.00;0,050
00.00.00;0,050
01.00.00;0,050
02.00.00;0,030
03.00.00;0,040
04.00.00;0,050
05.00.00;0,050
06.00.00;0,070
07.00.00;0,280
08.00.00;0,160
09.00.00;0,060
10.00.00;0,070
11.00.00;0,080
12.00.00;0,040
13.00.00;0,030
14.00.00;0,060
15.00.00;0,140
16.00.00;0,280
17.00.00;1,290
18.00.00;0,310
19.00.00;0,250
20.00.00;0,170
21.00.00;0,300
22.00.00;0,110
23.00.00;0,070
00.00.00;0,030
01.00.00;0,060
02.00.00;0,030
03.00.00;0,060
04.00.00;0,030
05.00.00;0,060
06.00.00;0,020
07.00.00;0,260
08.00.00;0,150
09.00.00;0,320
10.00.00;0,140
11.00.00;0,260
12.00.00;0,140
13.00.00;0,130
14.00.00;0,180
15.00.00;0,260
16.00.00;0,190
17.00.00;0,100
18.00.00;0,080
19.00.00;0,080
20.00.00;0,120
21.00.00;0,270
22.00.00;0,070
23.00.00;0,060
00.00.00;0,090
01.00.00;0,060
02.00.00;0,030
03.00.00;0,050
04.00.00;0,030
05.00.00;0,040
06.00.00;0,070
07.00.00;0,050
08.00.00;0,020
09.00.00;0,250
10.00.00;1,570
11.00.00;0,500
12.00.00;2,090
13.00.00;1,730
14.00.00;1,500
15.00.00;0,350
16.00.00;0,150
17.00.00;0,520
18.00.00;0,100
19.00.00;0,080
20.00.00;0,070
21.00.00;0,120
22.00.00;0,060
23.00.00;0,020
00.00.00;0,060
01.00.00;0,020
02.00.00;0,050
03.00.00;0,020
04.00.00;0,060
05.00.00;0,020
06.00.00;0,270
07.00.00;0,020
08.00.00;0,230
09.00.00;0,070
10.00.00;0,060
11.00.00;0,020
12.00.00;0,050
13.00.00;0,500
14.00.00;0,260
15.00.00;0,150
16.00.00;0,160
17.00.00;1,130
18.00.00;0,150
19.00.00;0,120
20.00.00;0,180
21.00.00;0,130
22.00.00;0,030
23.00.00;0,050
00.00.00;0,050
01.00.00;0,050
02.00.00;0,040
03.00.00;0,020
04.00.00;0,050
05.00.00;0,030
06.00.00;0,040
07.00.00;0,140
08.00.00;0,230
09.00.00;0,250
10.00.00;0,230
11.00.00;0,250
12.00.00;0,150
13.00.00;0,120
14.00.00;0,100
15.00.00;0,100
16.00.00;0,240
17.00.00;0,100
18.00.00;0,060
19.00.00;0,060
20.00.00;0,030
21.00.00;0,060
22.00.00;0,060
23.00.00;0,030
00.00.00;0,070
01.00.00;0,050
02.00.00;0,040
03.00.00;0,070
04.00.00;0,030
05.00.00;0,060
06.00.00;0,060
07.00.00;0,040
08.00.00;0,060
09.00.00;0,040
10.00.00;0,070
11.00.00;1,670
12.00.00;0,180
13.00.00;0,160
14.00.00;0,160
15.00.00;0,170
16.00.00;0,180
17.00.00;0,180
18.00.00;0,120
19.00.00;0,090
20.00.00;0,070
21.00.00;0,080
22.00.00;0,070
23.00.00;0,060
00.00.00;0,090
01.00.00;0,080
02.00.00;0,060
03.00.00;0,070
04.00.00;0,050
05.00.00;0,070
06.00.00;0,040
07.00.00;0,070
08.00.00;0,060
09.00.00;0,060
10.00.00;0,270
11.00.00;0,110
12.00.00;0,180
13.00.00;0,190
14.00.00;0,290
15.00.00;0,370
16.00.00;0,180
17.00.00;0,170
18.00.00;0,160
19.00.00;0,100
20.00.00;0,040
21.00.00;0,100
22.00.00;0,270
23.00.00;0,060
00.00.00;0,030
01.00.00;0,060
02.00.00;0,050
03.00.00;0,030
04.00.00;0,050
05.00.00;0,030
06.00.00;0,170
07.00.00;0,150
08.00.00;0,130
09.00.00;0,210
10.00.00;0,060
11.00.00;0,050
12.00.00;0,080
13.00.00;0,080
14.00.00;0,280
15.00.00;0,170
16.00.00;0,190
17.00.00;0,150
18.00.00;1,180
19.00.00;0,160
20.00.00;0,240
21.00.00;0,110
22.00.00;0,050
23.00.00;0,040
00.00.00;0,040
01.00.00;0,040
02.00.00;0,050
03.00.00;0,040
04.00.00;0,040
05.00.00;0,040
06.00.00;0,070
07.00.00;0,190
08.00.00;0,040
09.00.00;0,040
10.00.00;0,050
11.00.00;0,040
12.00.00;0,040
13.00.00;0,040
14.00.00;0,050
15.00.00;0,040
16.00.00;0,050
17.00.00;0,860
18.00.00;1,620
19.00.00;0,890
20.00.00;0,220
21.00.00;0,180
22.00.00;0,100
23.00.00;0,040
00.00.00;0,050
01.00.00;0,050
02.00.00;0,040
03.00.00;0,050
04.00.00;0,040
05.00.00;0,030
06.00.00;0,070
07.00.00;0,140
08.00.00;0,050
09.00.00;0,030
10.00.00;0,040
11.00.00;0,050
12.00.00;0,040
13.00.00;0,030
14.00.00;0,040
15.00.00;0,050
16.00.00;0,280
17.00.00;1,700
18.00.00;0,150
19.00.00;0,120
20.00.00;0,260
21.00.00;0,190
22.00.00;0,140
23.00.00;0,100
00.00.00;0,050
01.00.00;0,040
02.00.00;0,030
03.00.00;0,040
04.00.00;0,040
05.00.00;0,050
06.00.00;1,250
07.00.00;0,570
08.00.00;0,030
09.00.00;0,040
10.00.00;0,040
11.00.00;0,040
12.00.00;0,040
13.00.00;0,040
14.00.00;0,040
15.00.00;0,040
16.00.00;0,030
17.00.00;0,120
18.00.00;1,100
19.00.00;0,180
20.00.00;0,170
21.00.00;0,220
22.00.00;0,120
23.00.00;0,050
00.00.00;0,040
01.00.00;0,040
02.00.00;0,040
03.00.00;0,040
04.00.00;0,040
05.00.00;0,040
06.00.00;0,150
07.00.00;0,310
08.00.00;0,150
09.00.00;0,110
10.00.00;0,040
11.00.00;0,050
12.00.00;0,050
13.00.00;0,050
14.00.00;0,050
15.00.00;0,090
16.00.00;0,230
17.00.00;0,520
18.00.00;0,180
19.00.00;0,210
20.00.00;0,220
21.00.00;0,190
22.00.00;0,070
23.00.00;0,050
00.00.00;0,050
01.00.00;0,050
02.00.00;0,040
03.00.00;0,070
04.00.00;0,040
05.00.00;0,050
06.00.00;0,040
07.00.00;0,050
08.00.00;0,030
09.00.00;0,040
10.00.00;1,750
11.00.00;0,590
12.00.00;0,150
13.00.00;0,150
14.00.00;0,130
15.00.00;0,170
16.00.00;0,070
17.00.00;0,040
18.00.00;0,050
19.00.00;0,160
20.00.00;0,050
21.00.00;0,040
22.00.00;0,040
23.00.00;0,040
00.00.00;0,040
01.00.00;0,040
02.00.00;0,040
03.00.00;0,050
04.00.00;0,040
05.00.00;0,050
06.00.00;0,040
07.00.00;0,030
08.00.00;0,040
09.00.00;0,050
10.00.00;0,040
11.00.00;0,040
12.00.00;0,040
13.00.00;0,030
14.00.00;0,040
15.00.00;0,050
16.00.00;0,040
17.00.00;0,050
18.00.00;0,040
19.00.00;0,040
20.00.00;0,030
21.00.00;0,050
22.00.00;0,060
23.00.00;0,050
00.00.00;0,040
01.00.00;0,030
02.00.00;0,050
03.00.00;0,050
04.00.00;0,050
05.00.00;0,040
06.00.00;0,080
07.00.00;0,030
08.00.00;0,040
09.00.00;0,040
10.00.00;0,050
11.00.00;0,040
12.00.00;0,440
13.00.00;0,140
14.00.00;0,150
15.00.00;0,150
16.00.00;0,130
17.00.00;0,600
18.00.00;0,470
19.00.00;0,180
20.00.00;0,160
21.00.00;0,140
22.00.00;0,160
23.00.00;0,160
00.00.00;0,130
01.00.00;0,070
02.00.00;0,030
03.00.00;0,040
04.00.00;0,040
05.00.00;0,060
06.00.00;0,090
07.00.00;0,420
08.00.00;1,170
09.00.00;0,400
10.00.00;0,390
11.00.00;0,200
12.00.00;0,260
13.00.00;0,090
14.00.00;0,200
15.00.00;0,260
16.00.00;0,180
17.00.00;0,180
18.00.00;0,970
19.00.00;0,160
20.00.00;0,260
21.00.00;0,140
22.00.00;0,110
23.00.00;0,050
00.00.00;0,050
01.00.00;0,040
02.00.00;0,040
03.00.00;0,040
04.00.00;0,030
05.00.00;1,310
